Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2000,FEMALE,SOUTH AFRICA,Lwazi,172,1
2000,FEMALE,SOUTH AFRICA,Sipho,112,2
2000,FEMALE,SOUTH AFRICA,Sophia,104,3
2000,FEMALE,SOUTH AFRICA,norah,99,4
2000,FEMALE,SOUTH AFRICA,Emily,99,4
2000,FEMALE,SOUTH AFRICA,Mia,79,5
2000,FEMALE,SOUTH AFRICA,Charlotte,59,6
2000,FEMALE,SOUTH AFRICA,Sarah,57,7
2000,FEMALE,SOUTH AFRICA,Isabella,56,8
2000,FEMALE,SOUTH AFRICA,Hannah,56,8
2000,FEMALE,SOUTH AFRICA,Grace,54,9
2000,FEMALE,SOUTH AFRICA,Angela,54,9
2000,FEMALE,SOUTH AFRICA,Ava,53,10
2000,FEMALE,SOUTH AFRICA,Joanna,49,11
2000,FEMALE,SOUTH AFRICA,Amelia,44,12
2000,FEMALE,SOUTH AFRICA,Evelyn,42,13
2000,FEMALE,SOUTH AFRICA,Ella,42,13
2000,FEMALE,SOUTH AFRICA,Arya,42,13
2000,FEMALE,SOUTH AFRICA,Ariana,40,14
2000,FEMALE,SOUTH AFRICA,Maya,39,15
2000,FEMALE,SOUTH AFRICA,Alina,39,15
2000,FEMALE,SOUTH AFRICA,Fiona,35,16
2000,FEMALE,SOUTH AFRICA,Ashley,34,17
2000,FEMALE,SOUTH AFRICA,Anaya,34,17
2000,FEMALE,SOUTH AFRICA,Fatima,34,17
2000,FEMALE,SOUTH AFRICA,Anna,34,17
2000,FEMALE,SOUTH AFRICA,Aria,33,18
2000,FEMALE,SOUTH AFRICA,Abigail,32,19
2000,FEMALE,SOUTH AFRICA,Victoria,32,19
2000,FEMALE,SOUTH AFRICA,Abby,31,20
2000,FEMALE,SOUTH AFRICA,Zoe,31,20
2000,FEMALE,SOUTH AFRICA,Ayesha,30,21
2000,FEMALE,SOUTH AFRICA,Vivian,30,21
2000,FEMALE,SOUTH AFRICA,Claire,30,21
2000,FEMALE,SOUTH AFRICA,Audrey,29,22
2000,FEMALE,SOUTH AFRICA,Jessica,29,22
2000,FEMALE,SOUTH AFRICA,Zoey,29,22
2000,FEMALE,SOUTH AFRICA,Sophie,28,23
2000,FEMALE,SOUTH AFRICA,Rachel,28,23
2000,FEMALE,SOUTH AFRICA,Alice,28,23
2000,FEMALE,SOUTH AFRICA,TOLLY,28,23
2000,FEMALE,SOUTH AFRICA,Phoebe,27,24
2000,FEMALE,SOUTH AFRICA,Amy,27,24
2000,FEMALE,SOUTH AFRICA,Bella,27,24
2000,FEMALE,SOUTH AFRICA,Zara,26,25
2000,FEMALE,SOUTH AFRICA,Eva,26,25
2000,FEMALE,SOUTH AFRICA,Kayla,26,25
2000,FEMALE,SOUTH AFRICA,Maryam,26,25
2000,FEMALE,SOUTH AFRICA,Annie,26,25
2000,FEMALE,SOUTH AFRICA,Ellie,25,26
2000,FEMALE,SOUTH AFRICA,Tiffany,25,26
2000,FEMALE,SOUTH AFRICA,Aisha,25,26
2000,FEMALE,SOUTH AFRICA,Angelina,25,26
2000,FEMALE,SOUTH AFRICA,Katherine,24,27
2000,FEMALE,SOUTH AFRICA,Natalie,24,27
2000,FEMALE,SOUTH AFRICA,Avery,24,27
2000,FEMALE,SOUTH AFRICA,Jasmine,24,27
2000,FEMALE,SOUTH AFRICA,Riley,24,27
2000,FEMALE,SOUTH AFRICA,Alexandra,23,28
2000,FEMALE,SOUTH AFRICA,Michelle,23,28
2000,FEMALE,SOUTH AFRICA,Cynthia,23,28
2000,FEMALE,SOUTH AFRICA,Madison,23,28
2000,FEMALE,SOUTH AFRICA,Hailey,23,28
2000,FEMALE,SOUTH AFRICA,Aleena,23,28
2000,FEMALE,SOUTH AFRICA,Elena,23,28
2000,FEMALE,SOUTH AFRICA,Melody,22,29
2000,FEMALE,SOUTH AFRICA,MDUDUZI,21,30
2000,FEMALE,SOUTH AFRICA,Ivy,21,30
2000,FEMALE,SOUTH AFRICA,Elizabeth,21,30
2000,FEMALE,SOUTH AFRICA,Chelsea,21,30
2000,FEMALE,SOUTH AFRICA,Irene,20,31
2000,FEMALE,SOUTH AFRICA,Sofia,20,31
2000,FEMALE,SOUTH AFRICA,Isabelle,20,31
2000,FEMALE,SOUTH AFRICA,Tenzin,20,31
2000,FEMALE,SOUTH AFRICA,Allison,20,31
2000,FEMALE,SOUTH AFRICA,Aizah,20,31
2000,FEMALE,SOUTH AFRICA,Queenie,20,31
2000,FEMALE,SOUTH AFRICA,Leah,20,31
2000,FEMALE,SOUTH AFRICA,Stephanie,19,32
2000,FEMALE,SOUTH AFRICA,Myra,19,32
2000,FEMALE,SOUTH AFRICA,Harper,19,32
2000,FEMALE,SOUTH AFRICA,Inaaya,19,32
2000,FEMALE,SOUTH AFRICA,Alyssa,19,32
2000,FEMALE,SOUTH AFRICA,Ariel,19,32
2000,FEMALE,SOUTH AFRICA,Nina,18,33
2000,FEMALE,SOUTH AFRICA,Joyce,18,33
2000,FEMALE,SOUTH AFRICA,Katie,18,33
2000,FEMALE,SOUTH AFRICA,NATHI,18,33
2000,FEMALE,SOUTH AFRICA,Lily,18,33
2000,FEMALE,SOUTH AFRICA,Christina,18,33
2000,FEMALE,SOUTH AFRICA,Mila,17,34
2000,FEMALE,SOUTH AFRICA,Kaitlyn,17,34
2000,FEMALE,SOUTH AFRICA,Crystal,17,34
2000,FEMALE,SOUTH AFRICA,Alisha,17,34
2000,FEMALE,SOUTH AFRICA,Cindy,17,34
2000,FEMALE,SOUTH AFRICA,Nicole,17,34
2000,FEMALE,SOUTH AFRICA,Hanna,16,35
2000,FEMALE,SOUTH AFRICA,Arianna,16,35
2000,FEMALE,SOUTH AFRICA,Amber,16,35
2000,FEMALE,SOUTH AFRICA,Hoorain,16,35
2000,FEMALE,SOUTH AFRICA,Amanda,16,35
2000,FEMALE,SOUTH AFRICA,Queena,16,35
2000,FEMALE,SOUTH AFRICA,Catherine,16,35
2000,FEMALE,SOUTH AFRICA,Kelly,16,35
2000,FEMALE,SOUTH AFRICA,Manha,16,35
2000,FEMALE,SOUTH AFRICA,Sara,16,35
2000,FEMALE,SOUTH AFRICA,Ayat,15,36
2000,FEMALE,SOUTH AFRICA,Penelope,15,36
2000,FEMALE,SOUTH AFRICA,Serena,15,36
2000,FEMALE,SOUTH AFRICA,Hana,15,36
2000,FEMALE,SOUTH AFRICA,Athena,15,36
2000,FEMALE,SOUTH AFRICA,Jocelyn,15,36
2000,FEMALE,SOUTH AFRICA,Julia,15,36
2000,FEMALE,SOUTH AFRICA,Leanna,14,37
2000,FEMALE,SOUTH AFRICA,Samantha,14,37
2000,FEMALE,SOUTH AFRICA,Lydia,14,37
2000,FEMALE,SOUTH AFRICA,Elaine,14,37
2000,FEMALE,SOUTH AFRICA,Vicky,14,37
2000,FEMALE,SOUTH AFRICA,Clara,14,37
2000,FEMALE,SOUTH AFRICA,Winnie,14,37
2000,FEMALE,SOUTH AFRICA,Inaya,14,37
2000,FEMALE,SOUTH AFRICA,Emilia,14,37
2000,FEMALE,SOUTH AFRICA,Jacqueline,14,37
2000,FEMALE,SOUTH AFRICA,Mina,14,37
2000,FEMALE,SOUTH AFRICA,Amaya,13,38
2000,FEMALE,SOUTH AFRICA,Sharon,13,38
2000,FEMALE,SOUTH AFRICA,Angel,13,38
2000,FEMALE,SOUTH AFRICA,Haniya,13,38
2000,FEMALE,SOUTH AFRICA,Lucy,13,38
2000,FEMALE,SOUTH AFRICA,Elsa,13,38
2000,FEMALE,SOUTH AFRICA,Meera,12,39
2000,FEMALE,SOUTH AFRICA,Stella,12,39
2000,FEMALE,SOUTH AFRICA,Jessie,12,39
2000,FEMALE,SOUTH AFRICA,Joy,12,39
2000,FEMALE,SOUTH AFRICA,Anne,12,39
2000,FEMALE,SOUTH AFRICA,Amara,12,39
2000,FEMALE,SOUTH AFRICA,Carina,12,39
2000,FEMALE,SOUTH AFRICA,WILSON,12,39
2000,FEMALE,SOUTH AFRICA,Selina,12,39
2000,FEMALE,SOUTH AFRICA,Karen,12,39
2000,FEMALE,SOUTH AFRICA,Valerie,12,39
2000,FEMALE,SOUTH AFRICA,Luna,12,39
2000,FEMALE,SOUTH AFRICA,Esther,12,39
2000,FEMALE,SOUTH AFRICA,Annabelle,12,39
2000,FEMALE,SOUTH AFRICA,Eleanor,12,39
2000,FEMALE,SOUTH AFRICA,Celine,12,39
2000,FEMALE,SOUTH AFRICA,Nora,11,40
2000,FEMALE,SOUTH AFRICA,Kira,11,40
2000,FEMALE,SOUTH AFRICA,Yuna,11,40
2000,FEMALE,SOUTH AFRICA,Layla,11,40
2000,FEMALE,SOUTH AFRICA,Taylor,11,40
2000,FEMALE,SOUTH AFRICA,Noor,11,40
2000,FEMALE,SOUTH AFRICA,Bonnie,11,40
2000,FEMALE,SOUTH AFRICA,Jenny,11,40
2000,FEMALE,SOUTH AFRICA,Sylvia,11,40
2000,FEMALE,SOUTH AFRICA,Scarlett,11,40
2000,FEMALE,SOUTH AFRICA,Hareem,11,40
2000,FEMALE,SOUTH AFRICA,Miranda,11,40
2000,FEMALE,SOUTH AFRICA,Lillian,11,40
2000,FEMALE,SOUTH AFRICA,norah,11,40
2000,FEMALE,SOUTH AFRICA,Zahra,11,40
2000,FEMALE,SOUTH AFRICA,Mahnoor,11,40
2000,FEMALE,SOUTH AFRICA,Eunice,11,40
2000,FEMALE,SOUTH AFRICA,Laura,10,41
2000,FEMALE,SOUTH AFRICA,Summer,10,41
2000,FEMALE,SOUTH AFRICA,Jannatul,10,41
2000,FEMALE,SOUTH AFRICA,Mariam,10,41
2000,FEMALE,SOUTH AFRICA,Leela,10,41
2000,FEMALE,SOUTH AFRICA,Brianna,10,41
2000,FEMALE,SOUTH AFRICA,Anabia,10,41
2000,FEMALE,SOUTH AFRICA,Lia,10,41
2000,FEMALE,SOUTH AFRICA,Anjali,10,41
2000,FEMALE,SOUTH AFRICA,Caroline,10,41
2000,FEMALE,SOUTH AFRICA,Aileen,10,41
2000,FEMALE,SOUTH AFRICA,Amira,10,41
2000,FEMALE,SOUTH AFRICA,Hazel,10,41
2000,FEMALE,SOUTH AFRICA,Syeda,10,41
2000,FEMALE,SOUTH AFRICA,Arisha,10,41
2000,FEMALE,SOUTH AFRICA,Aliyah,10,41
2000,FEMALE,SOUTH AFRICA,Mira,10,41
2000,FEMALE,SOUTH AFRICA,Keira,10,41
2000,FEMALE,SOUTH AFRICA,Livia,10,41
2000,FEMALE,GAUTENG,Ava,109,1
2000,FEMALE,GAUTENG,Madison,104,2
2000,FEMALE,GAUTENG,Skylar,68,3
2000,FEMALE,GAUTENG,Riley,65,4
2000,FEMALE,GAUTENG,Aaliyah,57,5
2000,FEMALE,GAUTENG,WILSON,54,6
2000,FEMALE,GAUTENG,Sipho,51,7
2000,FEMALE,GAUTENG,Lwazi,49,8
2000,FEMALE,GAUTENG,Abigail,48,9
2000,FEMALE,GAUTENG,Fatoumata,48,9
2000,FEMALE,GAUTENG,Peyton,46,10
2000,FEMALE,GAUTENG,Zoe,45,11
2000,FEMALE,GAUTENG,Isabella,44,12
2000,FEMALE,GAUTENG,Faith,43,13
2000,FEMALE,GAUTENG,London,41,14
2000,FEMALE,GAUTENG,Autumn,41,14
2000,FEMALE,GAUTENG,Sophia,40,15
2000,FEMALE,GAUTENG,Malia,38,16
2000,FEMALE,GAUTENG,Brielle,38,16
2000,FEMALE,GAUTENG,Amelia,37,17
2000,FEMALE,GAUTENG,Taylor,37,17
2000,FEMALE,GAUTENG,Mia,37,17
2000,FEMALE,GAUTENG,Fatima,36,18
2000,FEMALE,GAUTENG,Nevaeh,35,19
2000,FEMALE,GAUTENG,Arianna,35,19
2000,FEMALE,GAUTENG,Kayla,35,19
2000,FEMALE,GAUTENG,Zoey,34,20
2000,FEMALE,GAUTENG,Nia,34,20
2000,FEMALE,GAUTENG,Kylie,34,20
2000,FEMALE,GAUTENG,Gabrielle,33,21
2000,FEMALE,GAUTENG,Aisha,33,21
2000,FEMALE,GAUTENG,Aria,33,21
2000,FEMALE,GAUTENG,Serenity,33,21
2000,FEMALE,GAUTENG,Laila,32,22
2000,FEMALE,GAUTENG,Khloe,32,22
2000,FEMALE,GAUTENG,Naomi,32,22
2000,FEMALE,GAUTENG,Leah,32,22
2000,FEMALE,GAUTENG,Makayla,32,22
2000,FEMALE,GAUTENG,Mariam,31,23
2000,FEMALE,GAUTENG,Paige,30,24
2000,FEMALE,GAUTENG,Zuri,30,24
2000,FEMALE,GAUTENG,Mariama,30,24
2000,FEMALE,GAUTENG,Victoria,30,24
2000,FEMALE,GAUTENG,Jasmine,28,25
2000,FEMALE,GAUTENG,Grace,28,25
2000,FEMALE,GAUTENG,Nyla,28,25
2000,FEMALE,GAUTENG,Morgan,28,25
2000,FEMALE,GAUTENG,norahta,27,26
2000,FEMALE,GAUTENG,Emily,26,27
2000,FEMALE,GAUTENG,Lauren,26,27
2000,FEMALE,GAUTENG,Layla,25,28
2000,FEMALE,GAUTENG,Sarah,25,28
2000,FEMALE,GAUTENG,Hailey,25,28
2000,FEMALE,GAUTENG,Miracle,25,28
2000,FEMALE,GAUTENG,Ariah,25,28
2000,FEMALE,GAUTENG,norah,24,29
2000,FEMALE,GAUTENG,norah,24,29
2000,FEMALE,GAUTENG,Amiyah,24,29
2000,FEMALE,GAUTENG,Nylah,24,29
2000,FEMALE,GAUTENG,Chelsea,23,30
2000,FEMALE,GAUTENG,Heaven,23,30
2000,FEMALE,GAUTENG,Bella,23,30
2000,FEMALE,GAUTENG,Ariana,23,30
2000,FEMALE,GAUTENG,Elizabeth,23,30
2000,FEMALE,GAUTENG,Trinity,22,31
2000,FEMALE,GAUTENG,Amaya,22,31
2000,FEMALE,GAUTENG,Genesis,22,31
2000,FEMALE,GAUTENG,Paris,22,31
2000,FEMALE,GAUTENG,Jordyn,22,31
2000,FEMALE,GAUTENG,Ariel,22,31
2000,FEMALE,GAUTENG,Gabriella,21,32
2000,FEMALE,GAUTENG,Kennedy,21,32
2000,FEMALE,GAUTENG,Talia,21,32
2000,FEMALE,GAUTENG,Mariah,21,32
2000,FEMALE,GAUTENG,Imani,21,32
2000,FEMALE,GAUTENG,Jayla,20,33
2000,FEMALE,GAUTENG,MDUDUZI,20,33
2000,FEMALE,GAUTENG,Dakota,20,33
2000,FEMALE,GAUTENG,Destiny,20,33
2000,FEMALE,GAUTENG,Alyssa,20,33
2000,FEMALE,GAUTENG,Kimora,20,33
2000,FEMALE,GAUTENG,Maya,20,33
2000,FEMALE,GAUTENG,Sydney,20,33
2000,FEMALE,GAUTENG,Charlotte,19,34
2000,FEMALE,GAUTENG,Leilani,19,34
2000,FEMALE,GAUTENG,Michelle,19,34
2000,FEMALE,GAUTENG,Aliyah,18,35
2000,FEMALE,GAUTENG,Aniyah,18,35
2000,FEMALE,GAUTENG,Tori,18,35
2000,FEMALE,GAUTENG,Aubrey,18,35
2000,FEMALE,GAUTENG,Avery,18,35
2000,FEMALE,GAUTENG,Lyric,18,35
2000,FEMALE,GAUTENG,Arielle,17,36
2000,FEMALE,GAUTENG,Eliana,17,36
2000,FEMALE,GAUTENG,Mya,17,36
2000,FEMALE,GAUTENG,Kiara,17,36
2000,FEMALE,GAUTENG,Egypt,17,36
2000,FEMALE,GAUTENG,Hannah,17,36
2000,FEMALE,GAUTENG,Journee,16,37
2000,FEMALE,GAUTENG,Anaya,16,37
2000,FEMALE,GAUTENG,Skyla,16,37
2000,FEMALE,GAUTENG,Janelle,16,37
2000,FEMALE,GAUTENG,Harmony,16,37
2000,FEMALE,GAUTENG,Isabelle,16,37
2000,FEMALE,GAUTENG,Alani,15,38
2000,FEMALE,GAUTENG,Brianna,15,38
2000,FEMALE,GAUTENG,Zariah,15,38
2000,FEMALE,GAUTENG,Maliyah,15,38
2000,FEMALE,GAUTENG,Jade,15,38
2000,FEMALE,GAUTENG,Amira,15,38
2000,FEMALE,GAUTENG,Sage,15,38
2000,FEMALE,GAUTENG,Kali,14,39
2000,FEMALE,GAUTENG,Brooke,14,39
2000,FEMALE,GAUTENG,Zara,14,39
2000,FEMALE,GAUTENG,Nala,14,39
2000,FEMALE,GAUTENG,Londyn,14,39
2000,FEMALE,GAUTENG,Amirah,14,39
2000,FEMALE,GAUTENG,McKenzie,14,39
2000,FEMALE,GAUTENG,Sarai,14,39
2000,FEMALE,GAUTENG,Nova,14,39
2000,FEMALE,GAUTENG,Gianna,13,40
2000,FEMALE,GAUTENG,Eva,13,40
2000,FEMALE,GAUTENG,Joy,13,40
2000,FEMALE,GAUTENG,Danielle,13,40
2000,FEMALE,GAUTENG,Mackenzie,13,40
2000,FEMALE,GAUTENG,Christina,13,40
2000,FEMALE,GAUTENG,Alexis,13,40
2000,FEMALE,GAUTENG,Addison,13,40
2000,FEMALE,GAUTENG,Harper,12,41
2000,FEMALE,GAUTENG,Bintou,12,41
2000,FEMALE,GAUTENG,Marley,12,41
2000,FEMALE,GAUTENG,Janiyah,12,41
2000,FEMALE,GAUTENG,Tianna,12,41
2000,FEMALE,GAUTENG,Journey,12,41
2000,FEMALE,GAUTENG,Milani,12,41
2000,FEMALE,GAUTENG,Oumou,12,41
2000,FEMALE,GAUTENG,Amara,12,41
2000,FEMALE,GAUTENG,Eden,12,41
2000,FEMALE,GAUTENG,Sasha,12,41
2000,FEMALE,GAUTENG,Jada,12,41
2000,FEMALE,GAUTENG,Cali,12,41
2000,FEMALE,GAUTENG,Ella,12,41
2000,FEMALE,GAUTENG,Princess,11,42
2000,FEMALE,GAUTENG,Melanie,11,42
2000,FEMALE,GAUTENG,Kaliyah,11,42
2000,FEMALE,GAUTENG,Nalani,11,42
2000,FEMALE,GAUTENG,Mckenzie,11,42
2000,FEMALE,GAUTENG,Aicha,11,42
2000,FEMALE,GAUTENG,Aissatou,11,42
2000,FEMALE,GAUTENG,Malaysia,11,42
2000,FEMALE,GAUTENG,Audrey,11,42
2000,FEMALE,GAUTENG,Tamia,11,42
2000,FEMALE,GAUTENG,Reign,11,42
2000,FEMALE,GAUTENG,Rylee,11,42
2000,FEMALE,GAUTENG,Khadija,10,43
2000,FEMALE,GAUTENG,Mila,10,43
2000,FEMALE,GAUTENG,Maimouna,10,43
2000,FEMALE,GAUTENG,Zahra,10,43
2000,FEMALE,GAUTENG,Skye,10,43
